"","Site","Latitude","Longitude","Genus"
"1","Alvaneu-1552",46.683,9.641,"Pinus"
"3","Alvaneu-1553",46.684,9.641,"Pinus"
"5","Bachtel-Beech",47.294,8.891,"Fagus"
"8","Bachtel-Spruce",47.294,8.89,"Picea"
"12","Beatenberg-Forest",46.7,7.763,"Picea"
"14","Beatenberg-Forest",46.7,7.763,"Abies"
"18","Birmensdorf-Forest",47.363,8.454,"Fagus"
"20","Birmensdorf-Forest",47.363,8.454,"Picea"
"22","Bueren-Forest",47.461,7.677,"Quercus"
"24","Chamoson-1567",46.209,7.212,"Quercus"
"26","Chamoson-1568",46.212,7.212,"Fagus"
"28","Chamoson-1658",46.209,7.212,"Fagus"
"30","Chippis-1575",46.296,7.58,"Pinus"
"32","Chippis-1660",46.296,7.579,"Quercus"
"34","Davos-Forest",46.815,9.856,"Picea"
"48","Grosswangen-Forest",47.148,8.049,"Picea"
"54","Hohtenn-Gampel-Forest",46.323,7.776,"Picea"
"56","Jussy-Forest",46.23,6.295,"Quercus"
"59","Jussy-Forest",46.23,6.295,"Carpinus"
"62","Lausanne-Forest",46.582,6.658,"Fagus"
"63","Lausanne-Forest",46.582,6.658,"Picea"
"69","Lens-Forest",46.268,7.436,"Pinus"
"71","Muri-Forest",47.269,8.357,"Fagus"
"74","Muri-Forest",47.269,8.357,"Picea"
"77","Neunkirch-1134",47.682,8.527,"Fagus"
"79","Neunkirch-1657",47.682,8.536,"Quercus"
"81","Neunkirch-898",47.684,8.534,"Fagus"
"83","Novaggio-Forest",46.022,8.835,"Quercus"
"93","Pfynwald-Control",46.302,7.612,"Pinus"
"96","Pfynwald-Illgraben-1724",46.294,7.629,"Picea"
"98","Pfynwald-Illgraben-1725",46.295,7.639,"Picea"
"100","Riehen-Forest",47.593,7.68,"Fagus"
"103","Riehen-Forest",47.593,7.68,"Quercus"
"106","Sagno-SE",45.86,9.038,"Picea"
"110","Sagno-SW",45.859,9.037,"Fagus"
"111","Sagno-SW",45.859,9.037,"Quercus"
"115","Saillon-A780",46.17,7.167,"Quercus"
"117","Saillon-A780",46.17,7.166,"Fagus"
"119","Saillon-A780",46.17,7.166,"Quercus"
"121","Saillon-A860",46.171,7.165,"Fagus"
"123","Saillon-A860",46.172,7.167,"Fagus"
"126","Schaenis-high",47.166,9.068,"Fagus"
"127","Schaenis-high",47.166,9.068,"Abies"
"129","Schaenis-low",47.166,9.067,"Fagus"
"130","Schaenis-low",47.166,9.067,"Fraxinus"
"132","Schmitten-Forest",46.688,9.664,"Picea"
"140","Scuol-Tarasp-108",46.775,10.292,"Pinus"
"142","Scuol-Tarasp-1560",46.775,10.29,"Picea"
"143","Scuol-Tarasp-1560",46.775,10.29,"Pinus"
"146","Sempach-Forest",47.127,8.207,"Fagus"
"149","Sempach-Forest",47.127,8.207,"Quercus"
"150","Sempach-Forest",47.127,8.207,"Larix"
"152","Sihlwald-1178",47.251,8.561,"Fagus"
"156","Surava-1122",46.674,9.623,"Pinus"
"158","Surava-1558",46.674,9.623,"Pinus"
"160","Surava-1558",46.675,9.624,"Picea"
"162","Vetroz-1571",46.221,7.254,"Quercus"
"164","Visp-Forest",46.297,7.857,"Fraxinus"
"165","Visp-Forest",46.297,7.857,"Quercus"
"166","Visp-Forest",46.297,7.857,"Pinus"
"171","Visp-Forest",46.297,7.857,"Sorbus"
"174","Vordemwald-Forest",47.273,7.886,"Picea"
"175","Vordemwald-Forest",47.273,7.886,"Abies"
"178","Vordemwald-Forest",47.273,7.886,"Fagus"
"180","Wangen-Forest",47.419,8.647,"Fagus"
"181","Wangen-Forest",47.419,8.647,"Picea"
"184","Wangen-Forest",47.419,8.647,"Pinus"
